01012000,-4.0,5.0
02012000,-5.0,5.1
03012000,-5.0,7.7
04012000,-3.0,9.7
05012000,-0.8,9.0
06012000,-3.1,10.0
07012000,-2.2,8.8
08012000,-3.4,8.5
09012000,-2.5,5.5
10012000,-1.3,4.9
11012000,-1.0,4.2
12012000,-3.0,5.0
13012000,-5.6,3.0
14012000,-1.3,3.6
15012000,-2.0,8.1
16012000,-4.1,5.2
17012000,-0.6,13.0
18012000,3.0,21.7
19012000,-1.0,13.8
20012000,-3.0,10.8
21012000,-2.2,19.4
22012000,-0.8,7.5
23012000,0.3,11.3
24012000,-1.4,5.2
25012000,-5.0,4.6
26012000,-7.2,4.9
27012000,-6.0,9.0
28012000,-2.8,8.0
29012000,-4.0,4.0
30012000,-2.9,16.0
31012000,-0.1,15.0
01022000,-0.5,9.5
02022000,6.6,8.5
03022000,4.8,10.0
04022000,3.0,11.3
05022000,1.0,11.1
06022000,0.6,10.6
07022000,-1.0,14.9
08022000,4.8,10.2
09022000,5.0,14.0
10022000,1.0,15.8
11022000,-0.2,9.5
12022000,1.0,14.1
13022000,-2.0,13.5
14022000,-0.3,15.0
15022000,1.5,13.2
16022000,4.9,10.9
17022000,2.7,13.6
18022000,0.7,14.2
21022000,2.5,12.0
22022000,1.8,11.7
23022000,-0.9,11.3
24022000,-3.0,12.7
25022000,-0.1,12.9
26022000,1.9,12.2
27022000,4.0,15.9
28022000,0.1,15.3
29022000,7.0,9.4
01032000,6.0,9.0
02032000,4.0,16.7
03032000,-0.7,17.2
04032000,2.7,17.9
05032000,1.8,16.0
06032000,1.0,15.3
07032000,-0.4,15.8
08032000,1.7,19.7
09032000,9.9,25.6
10032000,9.5,21.3
11032000,6.1,20.0
12032000,4.6,17.1
13032000,6.0,19.9
14032000,3.7,20.6
15032000,4.6,21.2
16032000,2.8,23.0
17032000,2.7,21.0
18032000,5.9,16.1
19032000,5.0,17.7
20032000,5.0,14.5
21032000,1.9,18.0
22032000,2.2,21.0
23032000,2.3,18.4
24032000,8.1,14.0
25032000,10.0,16.3
26032000,9.0,15.3
27032000,6.5,9.5
28032000,4.2,11.0
29032000,5.0,15.1
30032000,4.3,17.1
31032000,3.2,17.3
01042000,7.0,15.7
02042000,3.4,17.4
03042000,9.0,10.2
04042000,8.2,12.0
05042000,6.3,20.6
06042000,6.1,20.6
07042000,8.0,17.8
08042000,3.9,20.2
09042000,7.7,15.8
10042000,9.0,13.0
11042000,9.0,15.9
12042000,9.0,19.5
13042000,8.0,18.3
14042000,10.3,18.4
15042000,10.7,18.6
16042000,9.0,16.5
17042000,10.2,12.0
18042000,8.0,12.2
19042000,7.8,21.0
20042000,11.6,25.3
21042000,9.5,28.0
22042000,10.9,28.0
23042000,11.6,24.0
24042000,12.0,21.0
25042000,9.0,24.7
26042000,9.9,23.7
27042000,10.8,22.6
28042000,14.0,18.7
29042000,14.0,20.0
30042000,14.0,25.5
01052000,11.2,27.6
02052000,14.4,25.1
03052000,13.6,27.2
04052000,13.6,27.4
05052000,13.0,25.5
06052000,14.7,22.0
07052000,14.6,20.4
08052000,15.0,22.4
09052000,13.7,24.4
10052000,17.6,24.9
11052000,18.8,26.0
12052000,16.0,25.0
13052000,14.8,26.8
14052000,16.0,26.4
15052000,14.9,28.0
16052000,15.5,28.5
17052000,14.8,29.1
18052000,15.5,27.0
19052000,17.0,28.2
20052000,14.0,26.4
21052000,14.0,23.5
22052000,15.8,28.0
23052000,13.2,26.0
24052000,15.9,27.6
25052000,16.8,30.1
26052000,17.4,30.0
27052000,16.8,27.7
28052000,18.0,26.0
29052000,17.6,29.6
30052000,16.0,21.8
31052000,14.7,29.0
01062000,18.0,28.5
02062000,17.7,29.5
03062000,18.4,31.3
04062000,19.6,32.8
05062000,19.4,32.0
06062000,19.0,29.3
07062000,16.2,28.5
08062000,18.7,29.2
09062000,17.1,31.8
10062000,20.4,30.7
11062000,19.0,23.0
12062000,18.4,30.0
13062000,20.0,27.4
14062000,18.3,30.4
15062000,18.6,31.0
16062000,17.8,31.6
17062000,19.0,28.6
18062000,17.0,28.0
19062000,15.0,30.5
20062000,15.8,33.0
21062000,15.2,32.9
22062000,17.8,32.2
23062000,18.0,30.7
24062000,16.6,29.3
25062000,18.0,28.1
26062000,17.0,28.4
27062000,17.0,30.2
28062000,18.0,30.8
29062000,16.0,29.0
30062000,19.3,30.4
01072000,18.4,30.2
02072000,21.9,32.0
03072000,21.1,30.9
04072000,23.0,33.2
05072000,19.1,33.4
06072000,18.9,32.9
